collection,transcript,reason
Eng-NA,Braunwald/0diary/020201.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020202.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020203.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020204.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020205.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020206.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020207.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020208.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020209.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020210.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020211.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020212.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020213.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020214.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020215.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020216.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020217.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020218.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020219.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020220.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020221.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020222.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020223.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020224.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020225.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020226.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020227.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020302.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020304.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020305.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020306.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020307.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020308.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020309.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020310.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020311.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020312.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020322.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020323.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020324.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020325.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020326.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020327.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020328.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020329.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020401.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020402.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020403.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020404.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020405.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020406.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020407.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020408.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020410.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020411.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020412.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020413.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020414.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020415.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020417.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020418.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020419.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020420.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020421.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020422.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020424.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020425.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020426.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020427.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020428.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020429.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020500.cha,weak_text_identity
