original_transcript_id,n_current_transcripts,current_transcripts
11096,2,NewmanRatner/18/5965PC.cha;NewmanRatner/Interviews/18/5965PC.cha
11097,2,NewmanRatner/18/6043AM.cha;NewmanRatner/Interviews/18/6043AM.cha
11099,2,NewmanRatner/18/6047JC.cha;NewmanRatner/Interviews/18/6047JC.cha
11100,2,NewmanRatner/18/6314AK.cha;NewmanRatner/Interviews/18/6314AK.cha
11101,2,NewmanRatner/18/6337NK.cha;NewmanRatner/Interviews/18/6337NK.cha
11102,2,NewmanRatner/18/6510LC.cha;NewmanRatner/Interviews/18/6510LC.cha
11103,2,NewmanRatner/18/6598JM.cha;NewmanRatner/Interviews/18/6598JM.cha
11105,2,NewmanRatner/18/6630TM.cha;NewmanRatner/Interviews/18/6630TM.cha
11106,2,NewmanRatner/18/6691MW.cha;NewmanRatner/Interviews/18/6691MW.cha
11107,2,NewmanRatner/18/6825MT.cha;NewmanRatner/Interviews/18/6825MT.cha
11108,2,NewmanRatner/18/6757JC.cha;NewmanRatner/Interviews/18/6757JC.cha
11109,2,NewmanRatner/18/6826LD.cha;NewmanRatner/Interviews/18/6826LD.cha
11110,2,NewmanRatner/18/6878SK.cha;NewmanRatner/Interviews/18/6878SK.cha
11120,2,NewmanRatner/24/4269LP.cha;NewmanRatner/Interviews/24/4269LP.cha
11121,2,NewmanRatner/24/4452CM.cha;NewmanRatner/Interviews/24/4452CM.cha
11122,2,NewmanRatner/24/4619WZ.cha;NewmanRatner/Interviews/24/4619WZ.cha
11123,2,NewmanRatner/24/4273WC.cha;NewmanRatner/Interviews/24/4273WC.cha
11124,2,NewmanRatner/24/4650KS.cha;NewmanRatner/Interviews/24/4650KS.cha
11125,2,NewmanRatner/24/4641CC.cha;NewmanRatner/Interviews/24/4641CC.cha
11126,2,NewmanRatner/24/4629AB.cha;NewmanRatner/Interviews/24/4629AB.cha
11127,2,NewmanRatner/24/4664AM.cha;NewmanRatner/Interviews/24/4664AM.cha
11129,2,NewmanRatner/24/4697JK.cha;NewmanRatner/Interviews/24/4697JK.cha
11130,2,NewmanRatner/24/4708IB.cha;NewmanRatner/Interviews/24/4708IB.cha
11132,2,NewmanRatner/24/4731SA.cha;NewmanRatner/Interviews/24/4731SA.cha
11133,2,NewmanRatner/24/4734ES.cha;NewmanRatner/Interviews/24/4734ES.cha
11134,2,NewmanRatner/24/4743NA.cha;NewmanRatner/Interviews/24/4743NA.cha
11135,2,NewmanRatner/24/4767JC.cha;NewmanRatner/Interviews/24/4767JC.cha
11136,2,NewmanRatner/24/4814BS.cha;NewmanRatner/Interviews/24/4814BS.cha
11137,2,NewmanRatner/24/4801RB.cha;NewmanRatner/Interviews/24/4801RB.cha
11138,2,NewmanRatner/24/4802JP.cha;NewmanRatner/Interviews/24/4802JP.cha
11139,2,NewmanRatner/24/4825GG.cha;NewmanRatner/Interviews/24/4825GG.cha
11141,2,NewmanRatner/24/4858CM.cha;NewmanRatner/Interviews/24/4858CM.cha
11142,2,NewmanRatner/24/4866AC.cha;NewmanRatner/Interviews/24/4866AC.cha
11143,2,NewmanRatner/24/4903LS.cha;NewmanRatner/Interviews/24/4903LS.cha
11144,2,NewmanRatner/24/4929MM.cha;NewmanRatner/Interviews/24/4929MM.cha
11146,2,NewmanRatner/24/4997LM.cha;NewmanRatner/Interviews/24/4997LM.cha
11147,2,NewmanRatner/24/5013LA.cha;NewmanRatner/Interviews/24/5013LA.cha
11148,2,NewmanRatner/24/5039MB.cha;NewmanRatner/Interviews/24/5039MB.cha
11150,2,NewmanRatner/24/5066WT.cha;NewmanRatner/Interviews/24/5066WT.cha
11151,2,NewmanRatner/24/5073AC.cha;NewmanRatner/Interviews/24/5073AC.cha
11152,2,NewmanRatner/24/5111CG.cha;NewmanRatner/Interviews/24/5111CG.cha
11154,2,NewmanRatner/24/5193HB.cha;NewmanRatner/Interviews/24/5193HB.cha
11158,2,NewmanRatner/24/5224EZ.cha;NewmanRatner/Interviews/24/5224EZ.cha
11160,2,NewmanRatner/24/5266EC.cha;NewmanRatner/Interviews/24/5266EC.cha
11163,2,NewmanRatner/24/5443AO.cha;NewmanRatner/Interviews/24/5443AO.cha
11164,2,NewmanRatner/24/5449NG.cha;NewmanRatner/Interviews/24/5449NG.cha
11166,2,NewmanRatner/24/5474ES.cha;NewmanRatner/Interviews/24/5474ES.cha
11167,2,NewmanRatner/24/5540LD.cha;NewmanRatner/Interviews/24/5540LD.cha
11168,2,NewmanRatner/24/5543EF.cha;NewmanRatner/Interviews/24/5543EF.cha
11169,2,NewmanRatner/24/5550VS.cha;NewmanRatner/Interviews/24/5550VS.cha
11170,2,NewmanRatner/24/5561AC.cha;NewmanRatner/Interviews/24/5561AC.cha
11171,2,NewmanRatner/24/5563DB.cha;NewmanRatner/Interviews/24/5563DB.cha
11173,2,NewmanRatner/24/5573IH.cha;NewmanRatner/Interviews/24/5573IH.cha
11175,2,NewmanRatner/24/5609DW.cha;NewmanRatner/Interviews/24/5609DW.cha
11176,2,NewmanRatner/24/5593SH.cha;NewmanRatner/Interviews/24/5593SH.cha
11178,2,NewmanRatner/24/5694MC.cha;NewmanRatner/Interviews/24/5694MC.cha
11180,2,NewmanRatner/24/5707RT.cha;NewmanRatner/Interviews/24/5707RT.cha
11181,2,NewmanRatner/24/5661AP.cha;NewmanRatner/Interviews/24/5661AP.cha
