collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Eng-NA,Hall,Hall/BlackWork/kmf.cha,4132,high_confidence_text_match,12,0,12,Kim,57.0011704552455,2607,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/lef.cha,4135,high_confidence_text_match,10,0,10,Lynette,57.0011704552455,1967,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/mis.cha,4144,high_confidence_text_match,31,1,34,Michael,57.0011704552455,2223,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/pag.cha,4143,high_confidence_text_match,32,0,32,Patrick,57.0011704552455,2757,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/rog.cha,4145,high_confidence_text_match,22,0,22,Roland,57.0011704552455,3019,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/roj.cha,4146,high_confidence_text_match,14,1,15,Ronald,57.0011704552455,2067,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/BlackWork/trc.cha,4148,high_confidence_text_match,8,1,9,Trina,57.0011704552455,3823,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/WhitePro/gas.cha,4150,high_confidence_text_match,30,0,30,Gabriel,57.0011704552455,3725,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/WhitePro/job.cha,4149,high_confidence_text_match,27,1,28,Joey,57.0011704552455,3198,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Hall,Hall/WhitePro/jub.cha,4151,high_confidence_text_match,82,0,82,Julia,57.0011704552455,4811,,,False,57.0011704552455,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
